DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,6820,WP30105,0,F,4,C0D1F1T1,1,mm,a4_121820
D82699,19658,WP30105,0,F,4,C0D1F0T1,1,mm,a4_121820
D82699,17240,WP30105,0,F,4,C0D1F1T0,1,mm,a4_121820
D82699,11385,WP30105,0,F,4,C0D0F0T1,1,mm,a4_121820
D82699,9975,WP30105,0,F,4,C1D0F1T0,1,mm,a4_121820
D82699,474,WP30105,0,F,4,C0D0F1T0,0,mm,a4_121820
D82699,5413,WP30105,0,F,5,C0D0F1T1,1,mm,a4_121820
D82699,10010,WP30105,0,F,5,C1D0F1T0,1,mm,a4_121820
D82699,7313,WP30105,0,F,5,C1D0F0T0,1,mm,a4_121820
D82699,12718,WP30105,0,F,5,C1D0F0T1,1,mm,a4_121820
D82699,13387,WP30105,0,F,5,C0D1F0T1,1,mm,a4_121820
D82699,5274,WP30105,0,F,5,C0D1F1T1,1,mm,a4_121820
D82699,9814,WP30105,0,F,5,C1D1F0T0,1,mm,a4_121820
D82699,2016,WP30105,0,F,5,C0D1F0T0,0,mm,a4_121820
D82699,472,WP30105,0,F,5,C0D0F1T0,1,mm,a4_121820
D82699,12904,WP30105,0,F,5,C0D0F0T1,1,mm,a4_121820
D82699,17715,WP30105,0,F,5,C0D1F1T0,2,mm,a4_121820
D82699,4125,WP30105,0,F,5,C1D1F1T1,1,mm,a4_121820
D82699,19729,WP30105,0,F,6,C0D1F0T1,1,mm,a4_121820
D82699,15703,WP30105,0,F,6,C0D1F1T0,1,mm,a4_121820
D82699,11442,WP30105,0,F,6,C0D0F0T1,1,mm,a4_121820
D82699,912,WP30105,0,F,6,C0D1F0T0,1,mm,a4_121820
D82699,8779,WP30105,0,F,6,C1D0F0T0,1,mm,a4_121820
D82699,2019,WP30105,0,F,6,C0D0F1T1,1,mm,a4_121820
D82699,3631,WP30105,0,F,6,C1D1F0T0,1,mm,a4_121820
D82699,16068,WP30105,0,F,6,C1D0F0T1,1,mm,a4_121820
