PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
18198,WP30105,0,C,6,C0D0F1T1,1,mm,a4_121820
11914,WP30105,0,C,6,C1D1F1T1,1,mm,a4_121820
10600,WP30105,0,C,6,C0D0F0T1,1,mm,a4_121820
10168,WP30105,0,C,6,C0D1F0T1,1,mm,a4_121820
2801,WP30105,0,C,6,C0D1F1T0,1,mm,a4_121820
12169,WP30105,0,C,6,C1D0F0T0,1,mm,a4_121820
2627,WP30105,0,C,7,C1D1F0T0,1,mm,a4_121820
1142,WP30105,0,C,7,C1D0F0T0,1,mm,a4_121820
8574,WP30105,0,C,7,C1D0F1T0,1,mm,a4_121820
17852,WP30105,0,C,7,C0D0F1T0,1,mm,a4_121820
19445,WP30105,0,C,7,C0D1F0T1,2,mm,a4_121820
15054,WP30105,0,C,7,C0D1F0T0,1,mm,a4_121820
11532,WP30105,0,C,7,C1D0F0T1,1,mm,a4_121820
12079,WP30105,0,C,7,C0D0F1T1,1,mm,a4_121820
1284,WP30105,0,C,7,C0D1F1T0,1,mm,a4_121820
13462,WP30105,0,C,7,C1D1F1T1,1,mm,a4_121820
16283,WP30105,0,C,7,C0D1F1T1,1,mm,a4_121820
16753,WP30105,0,C,7,C0D0F0T1,1,mm,a4_121820
12000,WP30105,0,C,8,C0D1F0T0,1,mm,a4_121820
16492,WP30105,0,C,8,C1D1F1T1,1,mm,a4_121820
13194,WP30105,0,C,8,C0D1F0T1,1,mm,a4_121820
11622,WP30105,0,C,8,C0D1F1T1,1,mm,a4_121820
10634,WP30105,0,C,8,C0D0F0T1,2,mm,a4_121820
1556,WP30105,0,C,8,C1D0F0T0,1,mm,a4_121820
16311,WP30105,0,C,8,C0D0F1T0,1,mm,a4_121820
4502,WP30105,0,C,8,C0D1F1T0,1,mm,a4_121820
827,WP30105,0,C,8,C1D0F1T0,1,mm,a4_121820
4111,WP30105,0,C,8,C1D1F0T0,1,mm,a4_121820
11528,WP30105,0,C,8,C1D0F0T1,1,mm,a4_121820
16775,WP30105,0,C,8,C0D0F1T1,1,mm,a4_121820
17860,WP30105,0,C,9,C0D0F1T0,1,mm,a4_121820
10439,WP30105,0,C,9,C0D1F0T0,1,mm,a4_121820
487,WP30105,0,C,9,C1D1F0T0,1,mm,a4_121820
15226,WP30105,0,C,9,C0D0F1T1,1,mm,a4_121820
